,Time,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
0,0.0,1.1789707,2.9886441,2.3368146,1.8933498,0.24648772,-0.10184642,0.28712025,0.16174015,1.2080194,3.0231097,2.314196,1.9809916,0.24934182,-0.09464431,0.28086734,0.1701859
1,0.001,1.1813262,2.9905436,2.3740237,1.9056177,0.24672693,-0.10126555,0.2868587,0.16239774,1.2095932,3.0215275,2.354445,1.992724,0.24949047,-0.09425179,0.28143495,0.1705282
2,0.002,1.1837188,2.9924552,2.4112535,1.9175391,0.24696852,-0.10067493,0.28659618,0.1630646,1.2111847,3.0201218,2.3946164,2.004067,0.24964015,-0.093854584,0.28195682,0.17088023
3,0.003,1.1861486,2.9943786,2.4485037,1.9291078,0.24721241,-0.10007454,0.28633276,0.16374072,1.212754,3.0187635,2.4349067,2.0150604,0.24978712,-0.09346272,0.28246334,0.17122795
4,0.004,1.1886158,2.9963133,2.4857738,1.9403177,0.24745856,-0.09946431,0.2860684,0.16442613,1.2144963,3.0176692,2.4753447,2.0256517,0.24994959,-0.09302738,0.28291544,0.17162737
5,0.005,1.1911201,2.998259,2.523063,1.9511629,0.24770688,-0.09884428,0.2858032,0.16512078,1.2162318,3.0176375,2.5147443,2.0359783,0.25011066,-0.09259344,0.2830849,0.17206028
6,0.006,1.1936619,3.0002155,2.560371,1.9616374,0.24795732,-0.09821435,0.28553712,0.16582474,1.2179627,3.0174296,2.5543776,2.0460114,0.25027055,-0.09216038,0.2832998,0.17248648
7,0.007,1.1962409,3.0021822,2.5976973,1.971735,0.24820979,-0.09757455,0.2852702,0.16653796,1.2195047,3.0157511,2.5952287,2.0552068,0.25041237,-0.09177436,0.2838858,0.17281668
8,0.008,1.1988573,3.0041587,2.635041,1.9814497,0.24846423,-0.0969248,0.2850026,0.16726045,1.2212521,3.0128388,2.6374083,2.0628362,0.25057235,-0.09133666,0.2848162,0.17315575
9,0.009,1.201511,3.006145,2.672402,1.9907755,0.24872056,-0.0962651,0.2847341,0.16799217,1.2234819,3.0100405,2.678938,2.0703626,0.2507754,-0.0907777,0.28575924,0.17361787
10,0.01,1.204202,3.0081403,2.7097795,1.9997061,0.24897872,-0.09559544,0.2844649,0.16873318,1.2259045,3.0073504,2.7205348,2.0775092,0.2509946,-0.090169914,0.28668955,0.17413059
11,0.011,1.2069306,3.0101442,2.747173,2.008236,0.24923863,-0.09491573,0.28419504,0.16948347,1.2282736,3.0047357,2.7619865,2.0844302,0.2512075,-0.089575015,0.28759342,0.17463124
12,0.012,1.2096965,3.0121565,2.784582,2.0163584,0.24950022,-0.094226,0.28392452,0.17024302,1.2281098,3.0019095,2.803423,2.091369,0.25119284,-0.08961616,0.2883253,0.17448625
13,0.013,1.2124997,3.0141768,2.8220057,2.0240674,0.24976335,-0.09352623,0.28365326,0.17101179,1.225863,2.9988072,2.844754,2.0982735,0.25099084,-0.09018033,0.28894246,0.17380556
14,0.014,1.2153405,3.0162046,2.859444,2.0313573,0.25002804,-0.09281634,0.2833815,0.17178987,1.224003,2.9955015,2.8835788,2.1059368,0.25082266,-0.09064702,0.28964671,0.17321199
15,0.015,1.2182187,3.0182395,2.8968956,2.0382214,0.25029415,-0.09209632,0.28310907,0.1725772,1.2225647,2.9928653,2.9219682,2.113048,0.250692,-0.09100767,0.29021153,0.17274806
16,0.016,1.2211343,3.0202808,2.9343607,2.0446541,0.2505616,-0.09136617,0.28283617,0.17337379,1.2236844,2.993245,2.9615612,2.1192575,0.25079378,-0.090726905,0.29021317,0.17304382
17,0.017,1.2240875,3.0223286,2.9718382,2.050649,0.25083032,-0.09062582,0.28256267,0.17417967,1.2251848,2.9940145,2.9998116,2.1256237,0.25092962,-0.09035052,0.290146,0.17345046
18,0.018,1.227078,3.024382,3.009328,2.0561998,0.2511002,-0.08987531,0.28228873,0.1749948,1.2267748,2.994919,3.038062,2.1316464,0.25107294,-0.08995143,0.2900507,0.17388493
19,0.019,1.2301061,3.0264409,3.0468287,2.0613008,0.2513712,-0.08911453,0.28201437,0.1758192,1.2284584,2.9956384,3.0765498,2.1373124,0.25122404,-0.0895286,0.290012,0.17433575
20,0.02,1.2331717,3.0285046,3.0843406,2.0659451,0.2516432,-0.08834351,0.28173953,0.17665291,1.230239,2.9964373,3.1149755,2.1427462,0.25138307,-0.08908112,0.2899602,0.17481412
21,0.021,1.2362748,3.0305727,3.1218624,2.0701275,0.25191614,-0.0875622,0.2814644,0.1774959,1.2321619,2.997271,3.153361,2.1478784,0.2515539,-0.08859759,0.28991097,0.17532972
22,0.022,1.2394154,3.0326447,3.1593938,2.073841,0.2521899,-0.08677062,0.28118888,0.17834812,1.2342111,2.997789,3.192019,2.152556,0.2517349,-0.08808191,0.28995532,0.17586522
23,0.023,1.2425935,3.0347202,3.1969342,2.07708,0.2524644,-0.085968696,0.28091308,0.17920965,1.237426,2.9977071,3.2296362,2.15682,0.25201678,-0.08727214,0.29025877,0.17667186
24,0.024,1.2458093,3.0367987,3.2344828,2.079838,0.25273955,-0.08515637,0.28063697,0.18008053,1.2418793,2.9969828,3.265825,2.1608071,0.25240293,-0.08614898,0.2908361,0.17776728
25,0.025,1.2490625,3.0388796,3.2720392,2.0821087,0.25301525,-0.08433371,0.28036067,0.18096069,1.2464778,2.996504,3.3020587,2.1644552,0.2527964,-0.08498739,0.2913559,0.17891042
26,0.026,1.2523533,3.0409627,3.3096027,2.0838864,0.2532914,-0.08350063,0.28008413,0.18185017,1.2509767,2.9961402,3.3384151,2.167655,0.2531762,-0.083849244,0.29183173,0.18003452
27,0.027,1.2556818,3.0430474,3.3471725,2.0851643,0.25356793,-0.082657106,0.27980742,0.18274897,1.2554868,2.9958518,3.374793,2.170429,0.2535518,-0.082706526,0.29228345,0.18116607
28,0.028,1.2590477,3.0451329,3.3847482,2.0859363,0.2538447,-0.081803136,0.27953064,0.18365708,1.2601229,2.9958646,3.4110165,2.1727452,0.2539325,-0.08153017,0.29266074,0.18234293
29,0.029,1.2624513,3.047219,3.422329,2.0861964,0.25412166,-0.08093869,0.27925375,0.18457451,1.2647423,2.9958372,3.447366,2.1745563,0.25430644,-0.08035629,0.2930419,0.18351573
30,0.03,1.2658924,3.0493052,3.4599142,2.0859382,0.25439867,-0.08006376,0.27897683,0.1855013,1.2694145,2.9958909,3.4836822,2.1759844,0.25467908,-0.07916723,0.2934004,0.18470688
31,0.031,1.269371,3.0513906,3.4975033,2.0851555,0.25467566,-0.07917831,0.27869993,0.18643743,1.2742666,2.9961367,3.5198145,2.1772997,0.25506023,-0.077930585,0.2937167,0.18595304
32,0.032,1.2728873,3.0534754,3.5350955,2.083842,0.2549525,-0.078282304,0.27842295,0.18738294,1.2789688,2.99571,3.5563884,2.1780033,0.25542384,-0.076730385,0.2941929,0.18713672
33,0.033,1.2764412,3.0555582,3.5726902,2.0819914,0.2552291,-0.07737575,0.27814618,0.1883378,1.2836486,2.99523,3.5930338,2.178275,0.25578013,-0.07553422,0.29467583,0.18831423
34,0.034,1.2800328,3.0576391,3.610287,2.0795977,0.25550532,-0.07645859,0.27786943,0.18930207,1.2883419,2.9946988,3.629745,2.1780505,0.2561318,-0.07433294,0.29516765,0.18949483
35,0.035,1.2836617,3.0597172,3.6478846,2.0766542,0.2557811,-0.075530864,0.27759293,0.19027573,1.2923551,2.9937365,3.666894,2.176129,0.25642806,-0.07330444,0.29571778,0.19048566
36,0.036,1.2873285,3.0617921,3.6854827,2.0731547,0.25605634,-0.07459246,0.27731657,0.19125879,1.2963746,2.9927237,3.7042358,2.1735919,0.25672063,-0.07227314,0.2962775,0.19147703
37,0.037,1.2910327,3.0638633,3.7230809,2.0690932,0.2563309,-0.07364347,0.27704045,0.19225127,1.3005313,2.991965,3.7415829,2.1707516,0.25701883,-0.07120541,0.2967758,0.19251466
38,0.038,1.2947747,3.0659301,3.7606778,2.0644631,0.25660467,-0.07268378,0.27676463,0.19325319,1.3046677,2.991315,3.7788906,2.1675766,0.25731117,-0.07014166,0.29723957,0.19355251
39,0.039,1.2985541,3.067992,3.7982733,2.0592582,0.25687754,-0.07171345,0.27648914,0.1942645,1.3087729,2.990521,3.816277,2.1638098,0.25759694,-0.06908475,0.29773468,0.19457765
40,0.04,1.3023711,3.0700486,3.835868,2.053471,0.2571494,-0.07073241,0.27621394,0.19528532,1.3128978,2.9898503,3.8536634,2.159531,0.2578797,-0.06802161,0.29819426,0.19561379
41,0.041,1.3062264,3.072099,3.8734717,2.0470874,0.25742018,-0.06974051,0.27593923,0.19631577,1.3170341,2.9892576,3.8910441,2.1548717,0.25815886,-0.06695436,0.29862967,0.1966571
42,0.042,1.3101197,3.0741432,3.9110847,2.0401008,0.25768977,-0.06873775,0.27566493,0.1973558,1.3212888,2.9890325,3.9280944,2.1503322,0.2584414,-0.06585536,0.29897153,0.19774699
43,0.043,1.314051,3.0761802,3.9487047,2.032506,0.257958,-0.067724176,0.27539104,0.19840547,1.3256606,2.989017,3.9647596,2.1460571,0.25872684,-0.06472489,0.29926106,0.19887683
44,0.044,1.3180205,3.0782096,3.986329,2.024298,0.2582248,-0.0666997,0.27511773,0.19946475,1.3300658,2.9890282,4.001446,2.141371,0.25900948,-0.06358451,0.29954076,0.20001766
45,0.045,1.3220277,3.0802307,4.0239563,2.0154717,0.25849,-0.065664396,0.27484494,0.20053364,1.334457,2.9890587,4.038328,2.1360228,0.25928617,-0.06244654,0.2998094,0.20115688
46,0.046,1.3260728,3.0822427,4.0615835,2.0060217,0.2587535,-0.06461823,0.27457285,0.2016122,1.338652,2.9889739,4.0753694,2.1300516,0.25954586,-0.06135829,0.30009148,0.20224167
47,0.047,1.3301556,3.0842452,4.09921,1.9959432,0.25901517,-0.06356126,0.27430135,0.20270032,1.3424549,2.9891644,4.111928,2.1239119,0.2597773,-0.060370825,0.3002727,0.20323685
48,0.048,1.3342763,3.0862374,4.136833,1.9852308,0.25927487,-0.062493395,0.27403057,0.2037981,1.3462747,2.9891877,4.148577,2.1171975,0.260006,-0.059378088,0.30049524,0.20423055
49,0.049,1.3384346,3.088219,4.174452,1.9738793,0.2595325,-0.061414726,0.27376053,0.20490551,1.3501996,2.9889433,4.185626,2.1097238,0.26023707,-0.058357146,0.30079073,0.20524156
50,0.05,1.3426305,3.0901887,4.2120643,1.9618835,0.25978792,-0.06032521,0.2734913,0.2060225,1.3541406,2.9883516,4.222972,2.1015449,0.26046503,-0.057331085,0.30117464,0.2062436
51,0.051,1.346864,3.0921466,4.2496696,1.9492381,0.26004097,-0.059224866,0.27322286,0.20714918,1.3572742,2.9872267,4.258512,2.0896595,0.26064342,-0.056514632,0.3016495,0.2070141
52,0.052,1.351135,3.0940914,4.2872663,1.9359376,0.26029155,-0.058113687,0.27295536,0.20828548,1.359776,2.985806,4.293224,2.07537,0.26078397,-0.055862363,0.3021644,0.20760784
53,0.053,1.3554436,3.0960226,4.324853,1.9219767,0.2605395,-0.056991663,0.27268884,0.20943147,1.3622457,2.9843316,4.327916,2.060333,0.26092115,-0.05521815,0.30269,0.20819075
54,0.054,1.3597896,3.0979397,4.362429,1.9073501,0.26078475,-0.055858817,0.2724233,0.21058711,1.3643676,2.982322,4.3629923,2.044204,0.26103774,-0.054664366,0.30333588,0.20866007
55,0.055,1.3641729,3.099842,4.399994,1.892052,0.2610271,-0.054715183,0.27215874,0.21175241,1.3661283,2.9803696,4.398214,2.0272598,0.26113358,-0.05420467,0.30394575,0.20903668
56,0.056,1.3685937,3.1017287,4.4375463,1.8760774,0.2612664,-0.05356071,0.27189532,0.2129274,1.3676577,2.9787493,4.4329586,2.009883,0.26121616,-0.053805247,0.3044548,0.2093664
57,0.057,1.3730519,3.103599,4.475086,1.8594204,0.2615026,-0.05239541,0.27163306,0.21411213,1.3690647,2.9777386,4.467101,1.9923735,0.26129162,-0.053437654,0.30479622,0.20969015
58,0.058,1.3775473,3.1054525,4.5126123,1.8420757,0.2617355,-0.051219333,0.27137196,0.21530654,1.3705206,2.9771621,4.500915,1.9743004,0.26136914,-0.053057183,0.3050254,0.2100455
59,0.059,1.38208,3.1072884,4.550125,1.8240376,0.26196498,-0.050032444,0.27111214,0.21651065,1.3719033,2.97691,4.534464,1.955826,0.26144224,-0.052695733,0.3051648,0.21039595
60,0.06,1.38665,3.1091058,4.587624,1.8053004,0.26219088,-0.04883474,0.27085358,0.21772453,1.373343,2.9768739,4.567862,1.937011,0.26151785,-0.052319285,0.30524996,0.21077079
61,0.061,1.3912573,3.1109042,4.625109,1.7858586,0.26241308,-0.04762623,0.2705964,0.21894819,1.3768226,2.9776094,4.6026864,1.9180741,0.2616983,-0.05140899,0.3052369,0.21171318
62,0.062,1.3959017,3.1126826,4.6625805,1.7657064,0.26263148,-0.04640697,0.2703407,0.22018157,1.3805321,2.9782045,4.637919,1.8984423,0.26188722,-0.050437853,0.30526924,0.21271019
63,0.063,1.4005834,3.1144407,4.700038,1.7448381,0.26284584,-0.045176905,0.27008638,0.22142477,1.3842859,2.9787848,4.673208,1.8780725,0.2620747,-0.049454432,0.305304,0.21371873
64,0.064,1.4053022,3.1161773,4.7374825,1.7232481,0.2630561,-0.043936092,0.26983362,0.22267778,1.3880213,2.979351,4.708645,1.8567936,0.2622576,-0.04847513,0.30533788,0.21472247
65,0.065,1.4100583,3.117892,4.774914,1.7009304,0.2632621,-0.04268448,0.26958245,0.22394063,1.3910362,2.9801693,4.7437444,1.8348927,0.26240256,-0.047684256,0.30526745,0.21554852
66,0.066,1.4148514,3.1195838,4.8123326,1.6778792,0.26346365,-0.041422136,0.26933292,0.22521329,1.3940367,2.981072,4.7789483,1.8121672,0.26254445,-0.046896704,0.3051717,0.21637467
67,0.067,1.4196818,3.1212523,4.8497396,1.6540886,0.26366067,-0.040149037,0.26908508,0.2264958,1.3970351,2.982013,4.8142447,1.7887132,0.2626839,-0.046109263,0.3050634,0.2172021
68,0.068,1.4245492,3.1228967,4.887136,1.6295528,0.26385295,-0.038865216,0.26883888,0.22778818,1.4000045,2.9830024,4.849587,1.7644227,0.26281965,-0.045329053,0.30493858,0.21802409
69,0.069,1.429454,3.1245158,4.924522,1.604266,0.2640404,-0.037570618,0.2685946,0.22909048,1.4028001,2.983973,4.8851457,1.7392664,0.26294535,-0.044594143,0.30480868,0.21879977
70,0.07,1.4343958,3.1261091,4.9618993,1.5782219,0.26422286,-0.036265325,0.26835215,0.2304027,1.4056542,2.985324,4.9206796,1.7136397,0.26307154,-0.04384349,0.304579,0.21960671
71,0.071,1.4393748,3.127676,4.9992685,1.5514148,0.26440015,-0.03494931,0.26811162,0.23172486,1.4084537,2.9867458,4.9561954,1.6876526,0.26319325,-0.043106847,0.30432606,0.22040212
72,0.072,1.4443909,3.1292155,5.0366316,1.5238385,0.2645721,-0.033622626,0.26787302,0.23305696,1.4121877,2.9892256,4.992245,1.6594582,0.26335236,-0.042123787,0.3038316,0.22148639
73,0.073,1.4494443,3.1307268,5.07399,1.495487,0.26473865,-0.03228521,0.2676365,0.23439905,1.417261,2.9930923,5.0288534,1.6286225,0.2635627,-0.04078718,0.30302235,0.22297753
74,0.074,1.4545348,3.1322093,5.1113443,1.466354,0.26489958,-0.030937152,0.26740208,0.2357511,1.4225143,2.99678,5.065781,1.5965359,0.26377332,-0.03940205,0.30226004,0.2245064
75,0.075,1.4596624,3.1336622,5.148697,1.4364337,0.26505473,-0.029578434,0.26716974,0.23711316,1.4278593,3.000708,5.102718,1.5631294,0.26398015,-0.037991628,0.30142987,0.22606595
76,0.076,1.4648274,3.1350844,5.1860495,1.4057196,0.26520395,-0.028209044,0.2669397,0.23848532,1.4332857,3.0048587,5.13981,1.5285199,0.26418242,-0.036558613,0.30053583,0.22765212
77,0.077,1.4700296,3.1364753,5.2234044,1.3742057,0.26534712,-0.02682903,0.26671192,0.23986748,1.4381825,3.0091293,5.1775155,1.4926429,0.26435828,-0.03526454,0.29958305,0.22909905
78,0.078,1.4752691,3.1378343,5.260763,1.3418857,0.26548404,-0.025438387,0.26648638,0.24125974,1.4429877,3.0134857,5.2154183,1.455822,0.26452467,-0.03399384,0.29859743,0.2305207
79,0.079,1.4805458,3.1391604,5.2981277,1.3087534,0.26561457,-0.024037164,0.26626325,0.24266203,1.4475212,3.0174553,5.25389,1.4176078,0.2646761,-0.032794263,0.29769856,0.23185343
80,0.08,1.4858599,3.1404526,5.335501,1.2748022,0.26573855,-0.022625325,0.2660426,0.2440745,1.4521644,3.021503,5.2924113,1.3784583,0.2648255,-0.031564973,0.29677647,0.23321423
81,0.081,1.4912113,3.1417103,5.372885,1.240026,0.26585582,-0.02120293,0.26582444,0.24549708,1.4567331,3.025397,5.331137,1.3381352,0.26496693,-0.03035474,0.2958866,0.23454687
82,0.082,1.4966,3.1429324,5.410283,1.2044184,0.26596624,-0.01977,0.26560894,0.24692976,1.4613351,3.0293963,5.369966,1.2969494,0.26510382,-0.029135056,0.29496384,0.2358881
83,0.083,1.5020262,3.1441185,5.447697,1.167973,0.2660696,-0.018326538,0.26539594,0.2483726,1.4654546,3.0328643,5.408903,1.2542734,0.2652216,-0.028042711,0.29416233,0.23708242
84,0.084,1.5074898,3.1452675,5.4851303,1.1306832,0.26616573,-0.016872576,0.26518565,0.24982564,1.4695454,3.0363376,5.4480276,1.2108164,0.2653341,-0.026957516,0.29335383,0.23826653
85,0.085,1.512991,3.1463783,5.522585,1.0925426,0.26625454,-0.015408109,0.26497823,0.25128886,1.4743195,3.0397146,5.4868164,1.1662564,0.26545978,-0.025690485,0.29258367,0.23962666
86,0.086,1.5185295,3.1474507,5.5600653,1.0535449,0.2663358,-0.013933208,0.26477346,0.2527622,1.4808353,3.0419843,5.523261,1.1216917,0.26562154,-0.023960251,0.29214317,0.24141778
87,0.087,1.5241058,3.148483,5.5975733,1.0136831,0.26640934,-0.012447843,0.2645717,0.25424585,1.487097,3.0443528,5.559917,1.0773268,0.26576635,-0.02229655,0.29165938,0.24314353
88,0.088,1.5297196,3.149475,5.635113,0.9729509,0.26647502,-0.010952084,0.2643728,0.25573963,1.49371,3.0470116,5.596511,1.0324078,0.26590797,-0.020538557,0.29109514,0.24496944
89,0.089,1.5353712,3.150426,5.6726875,0.9313416,0.26653266,-0.009445909,0.26417685,0.2572437,1.5009664,3.0503092,5.632461,0.987525,0.26605,-0.018608501,0.29036152,0.2469811
90,0.09,1.5410603,3.1513343,5.710301,0.88884854,0.2665821,-0.007929422,0.26398405,0.25875792,1.5079626,3.0533543,5.6682534,0.94215107,0.2661737,-0.016746735,0.28967634,0.24891567
91,0.091,1.5467874,3.1521995,5.7479563,0.84546506,0.26662314,-0.006402571,0.26379433,0.2602824,1.5139483,3.0559282,5.702736,0.8972702,0.26626918,-0.015153198,0.28908795,0.25056884
92,0.092,1.5525523,3.1530206,5.785658,0.8011844,0.26665562,-0.004865401,0.26360786,0.26181716,1.519896,3.0584164,5.737429,0.85117483,0.2663546,-0.013569248,0.28851214,0.25220874
93,0.093,1.5583551,3.153797,5.823409,0.7559998,0.26667938,-0.0033179913,0.26342458,0.26336217,1.5260097,3.0612214,5.7720375,0.80432844,0.26643258,-0.011940606,0.28784454,0.2538985
94,0.094,1.5641959,3.1545274,5.8612146,0.70990443,0.2666942,-0.0017603287,0.26324457,0.26491737,1.5323434,3.0643404,5.8066363,0.75652933,0.26650286,-0.010252871,0.28708556,0.2556517
95,0.095,1.5700747,3.1552112,5.899079,0.66289157,0.26669994,-0.00019246386,0.263068,0.2664828,1.5388137,3.0673387,5.841312,0.7078624,0.2665636,-0.008528309,0.28634894,0.25743675
96,0.096,1.5759915,3.1558473,5.937005,0.6149542,0.2666964,0.0013855495,0.2628948,0.26805845,1.545713,3.0705535,5.8758883,0.65879154,0.2666161,-0.006689036,0.2855463,0.2593383
97,0.097,1.5819466,3.1564348,5.974999,0.5660855,0.26668343,0.0029737193,0.26272517,0.26964432,1.5525817,3.0748198,5.9097295,0.6101198,0.26665577,-0.004857581,0.28445086,0.26124808
98,0.098,1.5879399,3.156973,6.013064,0.5162785,0.2666608,0.0045719557,0.26255906,0.2712404,1.5593091,3.079221,5.943414,0.5600915,0.26668242,-0.0030635693,0.28330615,0.26311785
99,0.099,1.5939715,3.1574605,6.0512056,0.46552628,0.26662838,0.0061802627,0.26239663,0.27284667,1.5662194,3.083646,5.9771123,0.50869465,0.2666972,-0.0012206491,0.2821429,0.26503173
100,0.1,1.6000416,3.1578968,6.0894284,0.41382182,0.26658595,0.00779861,0.26223785,0.27446318,1.5734146,3.0882702,6.010445,0.45573235,0.26669908,0.0006982831,0.28091344,0.2670192
101,0.101,1.6061502,3.1582806,6.1277375,0.361158,0.26653334,0.009426901,0.26208287,0.27608976,1.5809915,3.0933788,6.0436144,0.40160275,0.26668614,0.0027190072,0.2795398,0.2691091
102,0.102,1.6122972,3.1586115,6.166137,0.30752784,0.26647037,0.011065099,0.26193166,0.27772647,1.5884098,3.0976605,6.076851,0.34710073,0.26665863,0.004697265,0.27837157,0.27113992
103,0.103,1.618483,3.158888,6.204634,0.2529242,0.26639682,0.012713202,0.26178434,0.27937332,1.5968934,3.1014028,6.1110463,0.2915821,0.2666092,0.0069593075,0.27732494,0.27344394
104,0.104,1.6247075,3.1591096,6.2432323,0.19733989,0.2663125,0.014371136,0.261641,0.2810302,1.6055243,3.1052969,6.145534,0.23441266,0.2665392,0.009260089,0.27621716,0.27578443
105,0.105,1.6309708,3.159275,6.2819376,0.1407678,0.2662173,0.01603886,0.26150164,0.28269717,1.6140823,3.1089978,6.180426,0.17626952,0.2664502,0.011540774,0.2751417,0.27809912
106,0.106,1.6372732,3.1593833,6.320756,0.083200656,0.26611093,0.017716326,0.26136643,0.28437412,1.6227683,3.1125522,6.215585,0.11683224,0.2663399,0.0138546815,0.2740839,0.28044224
107,0.107,1.6436145,3.1594336,6.359693,0.024631241,0.26599324,0.019403458,0.2612353,0.28606102,1.6314586,3.116104,6.250974,0.05612801,0.26620942,0.01616872,0.27300653,0.28278208
108,0.108,1.649995,3.159425,6.398754,-0.034947738,0.265864,0.021100204,0.26110837,0.28775778,1.6400429,3.120602,6.286321,-0.004714027,0.26606083,0.018453306,0.27165866,0.28509456
109,0.109,1.6564146,3.1593564,6.437946,-0.0955436,0.26572308,0.022806512,0.26098576,0.28946444,1.6488382,3.1257617,6.3216453,-0.065984264,0.26588824,0.020792637,0.27011016,0.28745922
110,0.11,1.6628737,3.1592267,6.477274,-0.1571637,0.26557022,0.024522362,0.26086748,0.2911809,1.6577764,3.1309636,6.3572974,-0.12880279,0.2656918,0.023168335,0.26852652,0.28985325
111,0.111,1.6693722,3.159035,6.5167446,-0.21981542,0.26540527,0.026247628,0.26075363,0.29290706,1.6666176,3.1357484,6.393175,-0.19275762,0.26547655,0.025516452,0.26703522,0.2922119
112,0.112,1.6759102,3.1587806,6.556364,-0.28350618,0.26522797,0.027982283,0.26064417,0.2946429,1.6756477,3.1405246,6.4292645,-0.2579608,0.26523533,0.02791266,0.2655202,0.2946125
113,0.113,1.682488,3.1584618,6.596139,-0.34824347,0.2650382,0.029726265,0.2605394,0.29638833,1.6847061,3.1449847,6.4656405,-0.32475042,0.26497158,0.03031408,0.26406693,0.29701254
114,0.114,1.6891055,3.1580784,6.636076,-0.41403472,0.26483566,0.031479504,0.2604391,0.29814327,1.693878,3.148449,6.5018687,-0.39363623,0.2646824,0.03274308,0.26285386,0.2994368
115,0.115,1.695763,3.1576288,6.676182,-0.48088753,0.2646202,0.03324193,0.26034355,0.29990762,1.7032316,3.1516383,6.538454,-0.46341515,0.26436457,0.035217322,0.26168546,0.30190384
116,0.116,1.7024604,3.1571124,6.716463,-0.5488094,0.26439166,0.03501344,0.2602527,0.30168134,1.712946,3.1544952,6.5752015,-0.53389263,0.26400998,0.037783787,0.26056895,0.3044616
117,0.117,1.709198,3.1565275,6.7569275,-0.617808,0.26414976,0.036793996,0.26016676,0.30346426,1.7234764,3.1581883,6.614345,-0.60826015,0.2635975,0.040561758,0.25917163,0.30722505
118,0.118,1.7159759,3.155874,6.7975807,-0.6878908,0.26389432,0.038583517,0.2600856,0.3052563,1.7343807,3.1627808,6.654543,-0.68552065,0.26313952,0.04343364,0.2574891,0.31007376
119,0.119,1.7227943,3.1551502,6.8384314,-0.7590657,0.2636251,0.040381946,0.2600094,0.3070574,1.7458173,3.1676102,6.6952405,-0.7627039,0.2626256,0.04644015,0.2556875,0.31304988
120,0.12,1.729653,3.1543555,6.8794785,-0.83131444,0.26334193,0.04218911,0.25993818,0.3088674,1.7576908,3.1719396,6.736845,-0.8404012,0.2620557,0.049555082,0.2539634,0.31613228
121,0.121,1.7365522,3.1534905,6.9207115,-0.9045824,0.2630446,0.04400495,0.2598715,0.31068608,1.7699255,3.1763582,6.778873,-0.91909647,0.2614298,0.052757464,0.25215968,0.3192963
122,0.122,1.7434922,3.152554,6.9621487,-0.9788954,0.26273286,0.045829404,0.25980952,0.31251338,1.7819674,3.1815884,6.821011,-0.997746,0.26077557,0.05590168,0.25011155,0.32238838
123,0.123,1.7504731,3.151544,7.003808,-1.054284,0.26240653,0.047662385,0.2597525,0.31434917,1.7924681,3.1873362,6.8634152,-1.0758057,0.26017419,0.058636867,0.24797863,0.3250579
124,0.124,1.7574954,3.15046,7.0457087,-1.1307777,0.26206535,0.04950388,0.25970045,0.3161934,1.803296,3.1932523,6.906135,-1.1547856,0.25952405,0.061450515,0.24575254,0.3277947
125,0.125,1.7645593,3.1492999,7.0878687,-1.2084061,0.26170915,0.051353823,0.25965366,0.31804588,1.8145201,3.1991498,6.949268,-1.2351685,0.25881797,0.064359516,0.24347594,0.33061787
126,0.126,1.7716651,3.1480625,7.1303077,-1.287198,0.26133764,0.053212173,0.25961214,0.3199066,1.8261373,3.2050316,6.991977,-1.3170118,0.25805286,0.06736184,0.24114503,0.33352533
127,0.127,1.7788131,3.1467464,7.1730433,-1.3671817,0.2609506,0.055078845,0.2595761,0.3217753,1.8368931,3.2102194,7.0351667,-1.4001346,0.2573134,0.07013345,0.23902501,0.33620566
128,0.128,1.786004,3.1453502,7.2160945,-1.448385,0.2605478,0.05695386,0.25954565,0.32365197,1.8474388,3.2156875,7.0782557,-1.4830475,0.2565595,0.07284305,0.23681647,0.33881128
129,0.129,1.7932377,3.1438725,7.25948,-1.5308355,0.26012897,0.058837082,0.25952095,0.3255364,1.8580986,3.221514,7.1217914,-1.5665722,0.25576845,0.07557374,0.23447612,0.34142244
130,0.13,1.8005149,3.1423116,7.3032184,-1.61456,0.25969392,0.060728535,0.25950217,0.32742846,1.8688765,3.2270384,7.1658235,-1.6511517,0.25493908,0.07832593,0.23217842,0.34405294
131,0.131,1.807836,3.1406665,7.3473277,-1.6995848,0.25924236,0.062628135,0.25948936,0.329328,1.8793861,3.2327096,7.2127914,-1.7365742,0.25410184,0.081000865,0.22983456,0.3465945
132,0.132,1.8152014,3.1389353,7.3918276,-1.785936,0.25877407,0.064535834,0.25948277,0.3312349,1.890273,3.2387903,7.2612495,-1.8229079,0.25320497,0.08376239,0.22732316,0.3492036
133,0.133,1.8226116,3.1371167,7.436736,-1.873639,0.25828874,0.066451594,0.25948247,0.3331489,1.9004978,3.2442749,7.3099914,-1.9106021,0.25233528,0.08634695,0.22499804,0.3516422
134,0.134,1.8300668,3.1352093,7.4820714,-1.9627186,0.25778615,0.068375334,0.25948858,0.3350699,1.9092941,3.2485833,7.358706,-1.9993839,0.251566,0.088563204,0.22308598,0.3537382
135,0.135,1.8375677,3.1332116,7.527852,-2.0531993,0.257266,0.070307024,0.25950122,0.33699766,1.9200648,3.2513297,7.4057164,-2.082934,0.25059754,0.09126755,0.22138938,0.35636333
